Fecha;Código de Producto;Categoría;Cantidad;Precio Unitario;venta_total;Año;Mes;Dia ;Dia_Semana ;Trimestre;Mes_Seno (CRÍTICA PARA ML);Mes_Coseno (CRÍTICA PARA ML);Dia_Semana_Seno;Dia_Semana_Coseno;Rango_Precio;Es_Fin_Semana;Es_Inicio_Mes;Es_Fin_Mes;Frecuencia_Producto;
6/01/2024;NISSAN AD;FARO POSTERIOR;2;59;118;2024;1;6;6;1;0.5;0.866025404;-0.781831482;0.623489802;MEDIO;1;0;0;40;
6/01/2024;NISSAN AD;FOCOS;1;7.63;7.63;2024;1;6;6;1;0.5;0.866025404;-0.781831482;0.623489802;ECONOMICO;1;0;0;40;
7/01/2024;YARIS 2014;PARACHOQUE DELANTERO;1;186;186;2024;1;7;0;1;0.5;0.866025404;0;1;ALTO;1;0;0;3;
7/01/2024;YARIS 2014;KIT DE NEBLINERO;1;118;118;2024;1;7;0;1;0.5;0.866025404;0;1;MEDIO;1;0;0;3;
7/01/2024;YARIS 2014;BRACKETS;1;38.14;38.14;2024;1;7;0;1;0.5;0.866025404;0;1;ECONOMICO;1;0;0;3;
8/01/2024;NISSAN SENTRA;FAROS DELANTEROS;1;182;182;2024;1;8;1;1;0.5;0.866025404;0.781831482;0.623489802;ALTO;0;0;0;41;
8/01/2024;NISSAN AD;SOPORTE PREPARADO;2;29;58;2024;1;8;1;1;0.5;0.866025404;0.781831482;0.623489802;ECONOMICO;0;0;0;40;
11/01/2024;HYUNDAI PORTER;FARO POSTERIOR;2;55;110;2024;1;11;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;4;
11/01/2024;HYUNDAI PORTER;FARO LED;2;50.85;101.7;2024;1;11;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;4;
11/01/2024;HYUNDAI PORTER;FARO LED ALTERAL;8;6.36;50.88;2024;1;11;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ECONOMICO;0;0;0;4;
11/01/2024;HYUNDAI PORTER;FARO CUADRDOS LED;1;118;118;2024;1;11;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;4;
12/01/2024;HYUNDAI 2010;MASCARA DELANTERA;1;169;169;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;ALTO;0;0;0;1;
12/01/2024;NISSAN FRONTIER;FARO DELANTERO;2;118;236;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;MEDIO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;PARACHOQUE DELANTERO;1;161;161;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;ALTO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;MASCARA DELANTERA;1;93.22;93.22;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;MEDIO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;FARO POSTERIORE;2;63.56;127.12;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;MEDIO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;MANDILES;2;50.83;101.66;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;MEDIO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;MANDILES;1;55.03;55.03;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;MEDIO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;FOCO NARVA;1;42.37;42.37;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;ECONOMICO;0;0;0;19;
12/01/2024;NISSAN FRONTIER;FOSCOS LED POSTERIOR;1;33.05;33.05;2024;1;12;5;1;0.5;0.866025404;-0.974927912;-0.222520934;ECONOMICO;0;0;0;19;
15/01/2024;NO DETALLA;SOPORTE SEGÚN LA MUESTRA;2;38.14;76.28;2024;1;15;1;1;0.5;0.866025404;0.781831482;0.623489802;ECONOMICO;0;0;0;17;
15/01/2024;NO DETALLA;SOPORTES PEQUEÑOS;4;29.66;118.64;2024;1;15;1;1;0.5;0.866025404;0.781831482;0.623489802;ECONOMICO;0;0;0;17;
15/01/2024;NO DETALLA;TAPA DE GASOLINA;1;16.95;16.95;2024;1;15;1;1;0.5;0.866025404;0.781831482;0.623489802;ECONOMICO;0;0;0;17;
18/01/2024;TOYOTA COROLLA;CAPOT;1;254.24;254.24;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ALTO;0;0;0;66;
18/01/2024;TOYOTA COROLLA;FARO DELANTERO;2;84.75;169.5;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;66;
18/01/2024;TOYOTA COROLLA;DIRECCIONALES;2;29.66;59.32;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ECONOMICO;0;0;0;66;
18/01/2024;TOYOTA COROLLA;DIRECCIONAL DE PARACHOQUE;2;23.31;46.62;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ECONOMICO;0;0;0;66;
18/01/2024;TOYOTA COROLLA;MASCARA DELANTERA;1;21.19;21.19;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ECONOMICO;0;0;0;66;
18/01/2024;TOYOTA HILUX;FARO DELANTERO;1;203.39;203.39;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;ALTO;0;0;0;78;
18/01/2024;TOYOTA HILUX;FARO POSTERIOR;2;59.32;118.64;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;78;
18/01/2024;TOYOTA HILUX;PARACHOUQE DELANTERO;1;127.12;127.12;2024;1;18;4;1;0.5;0.866025404;-0.433883739;-0.900968868;MEDIO;0;0;0;78;
